record_type,tick_ms,scene_raw,lux,pv_ok,pv_v,pv_i,pv_p,home_ok,home_v,home_i,home_p,home_soc,load_ok,load_v,load_i,load_p,car_soc,s3_valid,s3_v,s3_soc,s3_state,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h,scene_id,scene_label,source_file,real_elapsed_s,real_hour,real_hour_sin,real_hour_cos,real_duration_h,home_soc_raw,human_soc,pv_surplus_w
DATA,40098,0,62.500000,1,0.660000,0.000000,0.000000,1,7.842000,0.011000,0.086262,80.125000,1,4.841000,0.187000,0.905267,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,222.680412,0.061856,0.016193,0.999869,6.000000,80.000000,64.100000,-0.905267
DATA,50134,0,62.500000,1,0.660000,0.000000,0.000000,1,7.841000,0.011000,0.086251,80.062500,1,4.841000,0.187000,0.905267,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,296.907216,0.082474,0.021590,0.999767,6.000000,80.000000,64.100000,-0.905267
DATA,60182,0,62.500000,1,0.661000,0.000000,0.000000,1,7.840000,0.011000,0.086240,80.000000,1,4.842000,0.188000,0.910296,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,371.134021,0.103093,0.026986,0.999636,6.000000,80.000000,64.100000,-0.910296
DATA,70215,0,62.500000,1,0.661000,0.000000,0.000000,1,7.837000,0.011000,0.086207,79.812500,1,4.842000,0.188000,0.910296,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,445.360825,0.123711,0.032382,0.999476,6.000000,80.000000,64.100000,-0.910296
DATA,80237,0,62.500000,1,0.662000,0.000000,0.000000,1,7.835000,0.011000,0.086185,79.687500,1,4.843000,0.188000,0.910484,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,519.587629,0.144330,0.037776,0.999286,6.000000,80.000000,64.100000,-0.910484
DATA,90237,0,62.500000,1,0.662000,0.000000,0.000000,1,7.835000,0.011000,0.086185,79.687500,1,4.843000,0.188000,0.910484,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,593.814433,0.164948,0.043170,0.999068,6.000000,80.000000,64.100000,-0.910484
DATA,100270,0,53.300000,1,0.662000,0.000000,0.000000,1,7.833000,0.011000,0.086163,79.562500,1,4.843000,0.188000,0.910484,68,1,3.885000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,668.041237,0.185567,0.048562,0.998820,6.000000,80.000000,64.100000,-0.910484
DATA,110290,0,60.800000,1,0.662000,0.000000,0.000000,1,7.831000,0.011000,0.086141,79.437500,1,4.843000,0.188000,0.910484,68,1,3.884000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,742.268041,0.206186,0.053953,0.998543,6.000000,80.000000,64.100000,-0.910484
DATA,120329,0,27.500000,1,0.661000,0.000000,0.000000,1,7.829000,0.011000,0.086119,79.312500,1,4.843000,0.188000,0.910484,68,1,3.884000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,816.494845,0.226804,0.059342,0.998238,6.000000,80.000000,64.100000,-0.910484
DATA,130331,0,62.500000,1,0.662000,0.000000,0.000000,1,7.827000,0.011000,0.086097,79.187500,1,4.843000,0.188000,0.910484,68,1,3.884000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,890.721649,0.247423,0.064730,0.997903,6.000000,80.000000,64.100000,-0.910484
DATA,140344,0,62.500000,1,0.662000,0.000000,0.000000,1,7.826000,0.011000,0.086086,79.125000,1,4.843000,0.188000,0.910484,68,1,3.884000,64.100000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,964.948454,0.268041,0.070115,0.997539,6.000000,80.000000,64.100000,-0.910484
DATA,150387,0,61.700000,1,0.662000,0.000000,0.000000,1,7.824000,0.011000,0.086064,79.000000,1,4.843000,0.188000,0.910484,68,1,3.882000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1039.175258,0.288660,0.075499,0.997146,6.000000,80.000000,64.000000,-0.910484
DATA,160389,0,26.700000,1,0.661000,0.000000,0.000000,1,7.821000,0.011000,0.086031,78.812500,1,4.843000,0.188000,0.910484,68,1,3.882000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1113.402062,0.309278,0.080880,0.996724,6.000000,80.000000,64.000000,-0.910484
DATA,170416,0,62.500000,1,0.662000,0.000000,0.000000,1,7.820000,0.011000,0.086020,78.750000,1,4.843000,0.188000,0.910484,68,1,3.882000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1187.628866,0.329897,0.086259,0.996273,6.000000,80.000000,64.000000,-0.910484
DATA,180423,0,40.800000,1,0.662000,0.000000,0.000000,1,7.818000,0.011000,0.085998,78.625000,1,4.843000,0.188000,0.910484,68,1,3.882000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1261.855670,0.350515,0.091636,0.995793,6.000000,80.000000,64.000000,-0.910484
DATA,190440,0,45.800000,1,0.662000,0.000000,0.000000,1,7.817000,0.011000,0.085987,78.562500,1,4.844000,0.188000,0.910672,68,1,3.882000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1336.082474,0.371134,0.097010,0.995283,6.000000,80.000000,64.000000,-0.910672
DATA,200475,0,63.300000,1,0.662000,0.000000,0.000000,1,7.818000,0.011000,0.085998,78.625000,1,4.843000,0.188000,0.910484,68,1,3.881000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1410.309278,0.391753,0.102381,0.994745,6.000000,80.000000,64.000000,-0.910484
DATA,210506,0,63.300000,1,0.662000,0.000000,0.000000,1,7.815000,0.011000,0.085965,78.437500,1,4.844000,0.188000,0.910672,68,1,3.881000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1484.536082,0.412371,0.107749,0.994178,6.000000,80.000000,64.000000,-0.910672
DATA,220534,0,63.300000,1,0.662000,0.000000,0.000000,1,7.814000,0.011000,0.085954,78.375000,1,4.844000,0.189000,0.915516,68,1,3.880000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1558.762887,0.432990,0.113114,0.993582,6.000000,80.000000,64.000000,-0.915516
DATA,230560,0,63.300000,1,0.663000,0.000000,0.000000,1,7.812000,0.011000,0.085932,78.250000,1,4.845000,0.189000,0.915705,68,1,3.880000,64.000000,0,0,1,1,0,0,0,0,0,0,1,T1_night_no_pv,场景12.CSV,1632.989691,0.453608,0.118475,0.992957,6.000000,80.000000,64.000000,-0.915705
