real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h,future_pv_p,future_load_p,future_home_soc,scene_id,scene_label,real_hour,real_elapsed_s,sample_period_s
0.000000,1.000000,62.500000,0.660000,0.000000,7.842000,80.125000,0.905267,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.677083,1,T1_night_no_pv,0.000000,0.000000,60
0.004363,0.999990,62.500000,0.660000,0.000000,7.842000,80.125000,0.905267,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.626563,1,T1_night_no_pv,0.016667,60.000000,60
0.008727,0.999962,62.500000,0.660000,0.000000,7.842000,80.125000,0.905267,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.576042,1,T1_night_no_pv,0.033333,120.000000,60
0.013090,0.999914,62.500000,0.660000,0.000000,7.842000,80.125000,0.905267,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.525521,1,T1_night_no_pv,0.050000,180.000000,60
0.017452,0.999848,62.500000,0.660000,0.000000,7.841767,80.110417,0.905267,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.475000,1,T1_night_no_pv,0.066667,240.000000,60
0.021815,0.999762,62.500000,0.660042,0.000000,7.840958,80.059896,0.905477,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.375521,1,T1_night_no_pv,0.083333,300.000000,60
0.026177,0.999657,62.500000,0.660850,0.000000,7.840150,80.009375,0.909542,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.286146,1,T1_night_no_pv,0.100000,360.000000,60
0.030539,0.999534,62.500000,0.661000,0.000000,7.838025,79.876563,0.910296,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.197604,1,T1_night_no_pv,0.116667,420.000000,60
0.034899,0.999391,62.500000,0.661467,0.000000,7.836067,79.754167,0.910384,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.102187,1,T1_night_no_pv,0.133333,480.000000,60
0.039260,0.999229,62.500000,0.662000,0.000000,7.835000,79.687500,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,79.005625,1,T1_night_no_pv,0.150000,540.000000,60
0.043619,0.999048,61.733333,0.662000,0.000000,7.834833,79.677083,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,78.915521,1,T1_night_no_pv,0.166667,600.000000,60
0.047978,0.998848,54.296667,0.662000,0.000000,7.833217,79.576042,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910484,78.815312,1,T1_night_no_pv,0.183333,660.000000,60
0.052336,0.998630,58.550000,0.662000,0.000000,7.831600,79.475000,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910513,78.724063,1,T1_night_no_pv,0.200000,720.000000,60
0.056693,0.998392,43.872500,0.661492,0.000000,7.829983,79.373958,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910529,78.664583,1,T1_night_no_pv,0.216667,780.000000,60
0.061049,0.998135,38.583333,0.661317,0.000000,7.828367,79.272917,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910544,78.616563,1,T1_night_no_pv,0.233333,840.000000,60
0.065403,0.997859,62.500000,0.662000,0.000000,7.826875,79.179688,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.910783,78.555625,1,T1_night_no_pv,0.250000,900.000000,60
0.069756,0.997564,62.500000,0.662000,0.000000,7.826067,79.129167,0.910484,68.000000,64.100000,0,1,1,0,0,0,0,0,0,0.000000,0.911790,78.504583,1,T1_night_no_pv,0.266667,960.000000,60
0.074108,0.997250,61.906667,0.662000,0.000000,7.824517,79.032292,0.910484,68.000000,64.025833,0,1,1,0,0,0,0,0,0,0.000000,0.912798,78.443750,1,T1_night_no_pv,0.283333,1020.000000,60
0.078459,0.996917,42.450000,0.661450,0.000000,7.822350,78.896875,0.910484,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.913827,78.365938,1,T1_night_no_pv,0.300000,1080.000000,60
0.082808,0.996566,39.528333,0.661358,0.000000,7.820642,78.790104,0.910484,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.914840,78.287917,1,T1_night_no_pv,0.316667,1140.000000,60
0.087156,0.996195,58.883333,0.662000,0.000000,7.819667,78.729167,0.910484,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915607,78.224896,1,T1_night_no_pv,0.333333,1200.000000,60
0.091502,0.995805,41.342500,0.662000,0.000000,7.818050,78.628125,0.910484,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915606,78.161354,1,T1_night_no_pv,0.350000,1260.000000,60
0.095846,0.995396,44.716667,0.662000,0.000000,7.817217,78.576042,0.910631,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915575,78.097813,1,T1_night_no_pv,0.366667,1320.000000,60
0.100188,0.994969,56.154167,0.662000,0.000000,7.817592,78.599479,0.910561,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915537,78.034792,1,T1_night_no_pv,0.383333,1380.000000,60
0.104528,0.994522,63.300000,0.662000,0.000000,7.816800,78.550000,0.910559,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.965729,1,T1_night_no_pv,0.400000,1440.000000,60
0.108867,0.994056,63.300000,0.662000,0.000000,7.814792,78.424479,0.911681,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.890208,1,T1_night_no_pv,0.416667,1500.000000,60
0.113203,0.993572,63.300000,0.662017,0.000000,7.813967,78.372917,0.915519,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.815417,1,T1_night_no_pv,0.433333,1560.000000,60
0.117537,0.993068,63.300000,0.662825,0.000000,7.812350,78.271875,0.915672,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.750729,1,T1_night_no_pv,0.450000,1620.000000,60
0.121869,0.992546,63.300000,0.663000,0.000000,7.811367,78.210417,0.915705,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.687708,1,T1_night_no_pv,0.466667,1680.000000,60
0.126199,0.992005,63.300000,0.662558,0.000000,7.810558,78.159896,0.915622,68.000000,64.000000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.630729,1,T1_night_no_pv,0.483333,1740.000000,60
0.130526,0.991445,63.300000,0.662000,0.000000,7.809750,78.109375,0.915516,68.000000,63.950000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.576042,1,T1_night_no_pv,0.500000,1800.000000,60
0.134851,0.990866,63.300000,0.662117,0.000000,7.808883,78.055208,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.514792,1,T1_night_no_pv,0.516667,1860.000000,60
0.139173,0.990268,63.300000,0.663733,0.000000,7.807267,77.954167,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,77.463646,1,T1_night_no_pv,0.533333,1920.000000,60
0.143493,0.989651,63.300000,0.663325,0.000000,7.806325,77.895313,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915487,77.403646,1,T1_night_no_pv,0.550000,1980.000000,60
0.147809,0.989016,63.300000,0.662517,0.000000,7.805033,77.814583,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915450,77.333542,1,T1_night_no_pv,0.566667,2040.000000,60
0.152123,0.988362,63.300000,0.662292,0.000000,7.803708,77.731771,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915426,77.262188,1,T1_night_no_pv,0.583333,2100.000000,60
0.156434,0.987688,63.300000,0.663000,0.000000,7.802900,77.681250,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915419,77.197396,1,T1_night_no_pv,0.600000,2160.000000,60
0.160743,0.986996,63.300000,0.663000,0.000000,7.802092,77.630729,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915381,77.122500,1,T1_night_no_pv,0.616667,2220.000000,60
0.165048,0.986286,62.726667,0.663000,0.000000,7.801283,77.580208,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915372,77.046458,1,T1_night_no_pv,0.633333,2280.000000,60
0.169350,0.985556,62.500000,0.663525,0.000000,7.800475,77.529687,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915372,76.985625,1,T1_night_no_pv,0.650000,2340.000000,60
0.173648,0.984808,62.766667,0.663667,0.000000,7.799333,77.458333,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915374,76.929896,1,T1_night_no_pv,0.666667,2400.000000,60
0.177944,0.984041,63.300000,0.663000,0.000000,7.798000,77.375000,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915381,76.869687,1,T1_night_no_pv,0.683333,2460.000000,60
0.182236,0.983255,63.300000,0.663000,0.000000,7.798000,77.375000,0.915516,68.000000,63.800000,0,1,1,0,0,0,0,0,0,0.000000,0.915418,76.818750,1,T1_night_no_pv,0.700000,2520.000000,60
0.186524,0.982450,62.086667,0.662242,0.000000,7.796483,77.280208,0.915373,68.000000,63.724167,0,1,1,0,0,0,0,0,0,0.000000,0.915456,76.767708,1,T1_night_no_pv,0.716667,2580.000000,60
0.190809,0.981627,62.153333,0.662000,0.000000,7.794867,77.179167,0.915327,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915494,76.717708,1,T1_night_no_pv,0.733333,2640.000000,60
0.195090,0.980785,63.137500,0.662375,0.000000,7.793625,77.101562,0.915398,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915533,76.672396,1,T1_night_no_pv,0.750000,2700.000000,60
0.199368,0.979925,64.200000,0.662817,0.000000,7.792817,77.051042,0.915481,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915571,76.631563,1,T1_night_no_pv,0.766667,2760.000000,60
0.203642,0.979045,64.200000,0.662008,0.000000,7.792008,77.000521,0.915329,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915609,76.581458,1,T1_night_no_pv,0.783333,2820.000000,60
0.207912,0.978148,63.480000,0.662000,0.000000,7.790400,76.900000,0.915327,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915647,76.541458,1,T1_night_no_pv,0.800000,2880.000000,60
0.212178,0.977231,63.300000,0.662608,0.000000,7.790000,76.875000,0.915327,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915658,76.503958,1,T1_night_no_pv,0.816667,2940.000000,60
0.216440,0.976296,63.300000,0.663000,0.000000,7.789167,76.822917,0.915406,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915660,76.459688,1,T1_night_no_pv,0.833333,3000.000000,60
0.220697,0.975342,63.300000,0.663225,0.000000,7.788000,76.750000,0.915516,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915660,76.409167,1,T1_night_no_pv,0.850000,3060.000000,60
0.224951,0.974370,63.300000,0.663967,0.000000,7.787933,76.745833,0.915516,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915656,76.358646,1,T1_night_no_pv,0.866667,3120.000000,60
0.229200,0.973379,63.300000,0.663158,0.000000,7.786317,76.644792,0.915516,68.000000,63.700000,0,1,1,0,0,0,0,0,0,0.000000,0.915621,76.308125,1,T1_night_no_pv,0.883333,3180.000000,60
0.233445,0.972370,63.300000,0.663000,0.000000,7.786000,76.625000,0.915516,68.000000,63.570000,0,1,1,0,0,0,0,0,0,0.000000,0.915609,76.248958,1,T1_night_no_pv,0.900000,3240.000000,60
0.237686,0.971342,62.933333,0.663000,0.000000,7.785542,76.596354,0.915603,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915610,76.192188,1,T1_night_no_pv,0.916667,3300.000000,60
0.241922,0.970296,62.713333,0.663000,0.000000,7.784733,76.545833,0.915705,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915610,76.141667,1,T1_night_no_pv,0.933333,3360.000000,60
0.246153,0.969231,63.300000,0.663000,0.000000,7.783925,76.495312,0.915705,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915615,76.091146,1,T1_night_no_pv,0.950000,3420.000000,60
0.250380,0.968148,63.300000,0.663000,0.000000,7.783117,76.444792,0.915705,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915650,76.040625,1,T1_night_no_pv,0.966667,3480.000000,60
0.254602,0.967046,63.300000,0.662308,0.000000,7.783000,76.437500,0.915574,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915658,75.990104,1,T1_night_no_pv,0.983333,3540.000000,60
0.258819,0.965926,63.300000,0.662500,0.000000,7.782000,76.375000,0.915610,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915638,75.939583,1,T1_night_no_pv,1.000000,3600.000000,60
0.263031,0.964787,63.300000,0.663000,0.000000,7.780692,76.293229,0.915705,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915615,75.889062,1,T1_night_no_pv,1.016667,3660.000000,60
0.267238,0.963630,63.300000,0.663000,0.000000,7.779883,76.242708,0.915683,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915615,75.838542,1,T1_night_no_pv,1.033333,3720.000000,60
0.271440,0.962455,63.300000,0.663000,0.000000,7.779075,76.192188,0.915530,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915615,75.788021,1,T1_night_no_pv,1.050000,3780.000000,60
0.275637,0.961262,63.300000,0.663000,0.000000,7.778267,76.141667,0.915516,68.000000,63.500000,0,1,1,0,0,0,0,0,0,0.000000,0.915613,75.737500,1,T1_night_no_pv,1.066667,3840.000000,60
0.279829,0.960050,63.300000,0.663000,0.000000,7.777458,76.091146,0.915618,68.000000,63.445833,0,1,1,0,0,0,0,0,0,0.000000,0.915613,75.679167,1,T1_night_no_pv,1.083333,3900.000000,60
0.284015,0.958820,63.020000,0.663000,0.000000,7.776650,76.040625,0.915705,68.000000,63.400000,0,1,1,0,0,0,0,0,0,0.000000,0.915598,75.616146,1,T1_night_no_pv,1.100000,3960.000000,60
0.288196,0.957571,62.626667,0.663158,0.000000,7.775842,75.990104,0.915705,68.000000,63.400000,0,1,1,0,0,0,0,0,0,0.000000,0.915560,75.553125,1,T1_night_no_pv,1.116667,4020.000000,60
0.292372,0.956305,63.273333,0.663967,0.000000,7.775033,75.939583,0.915705,68.000000,63.400000,0,1,1,0,0,0,0,0,0,0.000000,0.915523,75.489479,1,T1_night_no_pv,1.133333,4080.000000,60
0.296542,0.955020,63.300000,0.663225,0.000000,7.774225,75.889062,0.915559,68.000000,63.400000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,75.415729,1,T1_night_no_pv,1.150000,4140.000000,60
0.300706,0.953717,63.300000,0.662417,0.000000,7.773417,75.838542,0.915516,68.000000,63.400000,0,1,1,0,0,0,0,0,0,0.000000,0.915516,75.356354,1,T1_night_no_pv,1.166667,4200.000000,60
