1?ÄLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,64.2,0.676,0.000,7.635,67.2,1.258,94.0,-1.0,0,1,1,1,0,0,0,0,0
DATA,4000,0.000291,1.000000,60.0,0.671,0.000,7.565,62.8,1.887,94.0,-1.0,0,1,1,1,0,0,0,0,0
DATA,6000,0.000436,1.000000,33.3,0.669,0.000,7.563,62.7,2.097,94.0,-1.0,0,1,1,1,0,0,0,0,0
DATA,8000,0.000582,1.000000,32.5,0.669,0.000,7.571,63.2,2.157,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,58.3,0.667,0.000,7.601,65.1,2.325,94.0,42.4,0,1,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,53.3,0.668,0.000,7.602,65.1,2.134,94.0,42.4,0,1,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,63.3,0.668,0.000,7.602,65.1,1.942,94.0,42.4,0,1,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,64.2,0.669,0.000,7.602,65.1,1.751,94.0,42.4,0,1,1,0,0,0,0,0,0
DATA,18000,0.001309,0.999999,64.2,0.668,0.000,7.597,64.8,1.751,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,20000,-0.981460,0.191665,64.2,0.669,0.000,7.606,65.4,1.751,94.0,42.0,0,1,1,1,0,0,0,0,0
DATA,22000,-0.981432,0.191809,57.5,0.669,0.000,7.567,62.9,1.942,94.0,42.0,0,1,1,1,0,0,0,0,0
DATA,24000,-0.981404,0.191951,31.7,0.669,0.000,7.567,62.9,2.134,94.0,42.0,0,1,1,1,0,0,0,0,0
DATA,26000,-0.981377,0.192094,32.5,0.670,0.000,7.568,63.0,2.325,94.0,42.0,0,1,1,1,0,0,0,0,0
DATA,28000,-0.981349,0.192237,60.8,0.670,0.000,7.603,65.2,2.421,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,30000,-0.981321,0.192379,58.3,0.671,0.000,7.608,65.5,2.230,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,32000,-0.981293,0.192522,60.0,0.671,0.000,7.608,65.5,2.039,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,34000,-0.981265,0.192664,64.2,0.672,0.000,7.604,65.3,1.850,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,36000,-0.981237,0.192808,65.8,0.671,0.000,7.605,65.3,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,38000,-0.981209,0.192950,65.8,0.671,0.000,7.602,65.1,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,40000,-0.981180,0.193093,65.8,0.672,0.000,7.604,65.2,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,42000,-0.981152,0.193235,65.8,0.672,0.000,7.606,65.4,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,44000,-0.981124,0.193378,65.8,0.672,0.000,7.601,65.1,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,46000,-0.981096,0.193521,65.8,0.672,0.000,7.608,65.5,1.756,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,48000,-0.981068,0.193664,65.8,0.671,0.000,7.602,65.1,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,50000,-0.981040,0.193807,65.0,0.671,0.000,7.607,65.4,1.755,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,52000,-0.981012,0.193949,64.2,0.672,0.000,7.607,65.4,1.756,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,54000,-0.980983,0.194092,64.2,0.672,0.000,7.607,65.4,1.756,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,56000,-0.980955,0.194234,64.2,0.673,0.000,7.605,65.3,1.757,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,58000,-0.980927,0.194378,64.2,0.673,0.000,7.604,65.3,1.757,94.0,42.0,0,1,1,0,0,0,0,0,0
DATA,60000,-0.980899,0.194520,63.3,0.673,0.000,7.605,65.3,1.757,94.0,42.0,0,1,1,0,0,0,0,0,0
