JÅLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,89.2,0.674,0.000,7.775,75.9,0.875,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,4000,0.000291,1.000000,89.2,0.672,0.000,7.735,73.5,1.313,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,6000,0.000436,1.000000,107.5,0.671,0.000,7.734,73.4,1.459,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,8000,0.000582,1.000000,111.7,0.671,0.000,7.732,73.2,1.501,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,111.7,0.670,0.000,7.731,73.2,1.751,94.0,-1.0,0,1,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,111.7,0.670,0.000,7.730,73.1,1.751,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,111.7,0.670,0.000,7.730,73.1,1.751,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,113.3,0.670,0.000,7.734,73.4,1.752,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,18000,0.001309,0.999999,116.7,0.671,0.000,7.729,73.0,1.752,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,20000,-0.986703,-0.162537,116.7,0.671,0.000,7.733,73.3,1.752,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,22000,-0.986726,-0.162394,116.7,0.672,0.000,7.731,73.2,1.752,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,24000,-0.986750,-0.162250,116.7,0.672,0.000,7.733,73.3,1.753,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,26000,-0.986773,-0.162106,117.5,0.673,0.000,7.733,73.3,1.754,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,28000,-0.986797,-0.161963,117.5,0.673,0.000,7.732,73.2,1.755,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,30000,-0.986821,-0.161819,117.5,0.673,0.000,7.731,73.2,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,32000,-0.986844,-0.161676,117.5,0.673,0.000,7.730,73.1,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,34000,-0.986867,-0.161532,117.5,0.673,0.000,7.731,73.2,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,36000,-0.986891,-0.161389,117.5,0.673,0.000,7.731,73.2,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,38000,-0.986915,-0.161245,117.5,0.672,0.000,7.729,73.0,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,40000,-0.986938,-0.161101,117.5,0.672,0.000,7.729,73.0,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
DATA,42000,-0.986961,-0.160958,117.5,0.672,0.000,7.727,73.0,1.757,94.0,59.8,0,1,1,0,0,0,0,0,0
