"DATA,tick_ms,scene,lux,pv_ok,pv_v,pv_i,pv_p,home_ok,home_v,home_i,home_p,home_soc,load_ok,load_v,load_i,load_p,car_soc,s3_valid,s3_v,s3_soc,s3_hr,s3_spo2,s3_state,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h"
"DATA,10038,0,2345.8,1,10.912,0.000,0.000,1,7.658,0.011,0.088,71.0,1,4.818,0.184,0.885,67,1,3.793,37.6,0,0,0,0,1,1,0,0,0,0,0,0"
"DATA,20043,0,2345.0,1,10.647,0.144,1.536,1,7.682,0.011,0.088,71.0,1,4.945,0.195,0.966,67,1,3.793,37.6,0,0,0,1,0,1,0,0,0,0,0,0"
"DATA,30087,0,2346.7,1,9.220,0.676,5.822,1,7.834,0.011,0.090,71.0,1,4.947,0.196,0.971,68,1,3.791,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,40133,0,2377.5,1,8.396,0.983,8.273,1,7.843,0.011,0.090,71.0,1,4.935,0.196,0.966,68,1,3.790,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,50139,0,2374.2,1,8.402,0.985,8.292,1,7.847,0.011,0.090,71.0,1,4.935,0.196,0.966,68,1,3.790,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,60191,0,2374.2,1,8.406,0.986,8.302,1,7.852,0.011,0.090,71.0,1,4.934,0.196,0.966,68,1,3.790,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,70218,0,2375.0,1,8.407,0.986,8.304,1,7.853,0.011,0.090,71.0,1,4.934,0.196,0.966,68,1,3.790,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,80220,0,2375.8,1,8.409,0.986,8.310,1,7.852,0.011,0.090,71.0,1,4.933,0.197,0.966,68,1,3.789,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,90234,0,2375.8,1,8.413,0.987,8.320,1,7.858,0.011,0.090,71.0,1,4.933,0.197,0.966,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,100274,0,2375.0,1,8.415,0.988,8.326,1,7.858,0.011,0.090,71.0,1,4.934,0.197,0.966,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,110285,0,2375.8,1,8.414,0.987,8.322,1,7.862,0.011,0.090,71.0,1,4.933,0.197,0.969,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,120318,0,2372.5,1,8.419,0.988,8.336,1,7.864,0.011,0.090,71.0,1,4.934,0.197,0.973,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,130327,0,2373.3,1,8.423,0.990,8.355,1,7.865,0.011,0.090,71.0,1,4.934,0.197,0.979,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,140349,0,2371.7,1,8.426,0.991,8.365,1,7.867,0.011,0.090,71.0,1,4.934,0.197,0.979,68,1,3.787,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,150360,0,2376.7,1,8.421,0.989,8.348,1,7.866,0.011,0.090,71.0,1,4.934,0.197,0.979,68,1,3.786,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,160360,0,2374.2,1,8.421,0.988,8.338,1,7.868,0.011,0.090,71.0,1,4.933,0.197,0.979,68,1,3.786,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
"DATA,170361,0,2371.7,1,8.424,0.990,8.355,1,7.869,0.011,0.090,71.0,1,4.933,0.197,0.979,68,1,3.785,37.6,0,0,0,1,0,1,0,0,0,1,0,0"
