ŒLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,2445.8,6.326,0.000,7.491,58.2,0.875,94.0,-1.0,1,0,1,0,0,0,0,0,0
DATA,4000,0.000291,1.000000,2444.2,8.442,1.527,7.521,60.1,1.348,94.0,-1.0,1,0,1,0,0,0,0,0,0
DATA,6000,0.000436,1.000000,2430.8,9.148,2.037,7.521,60.1,1.505,94.0,-1.0,1,0,1,0,0,0,0,0,0
DATA,8000,0.000582,1.000000,2416.7,9.349,2.182,7.522,60.2,1.550,94.0,-1.0,1,0,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,2438.3,10.604,2.673,7.523,60.2,1.811,94.0,26.5,1,0,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,2422.5,10.559,3.055,7.523,60.2,1.820,94.0,26.5,1,0,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,2500.0,10.558,3.055,7.523,60.2,1.820,94.0,26.5,1,0,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,2500.0,10.559,3.061,7.593,64.5,1.820,94.0,26.5,1,0,1,0,0,0,1,0,0
DATA,18000,0.001309,0.999999,2500.0,9.961,4.327,7.702,71.4,1.817,94.0,26.5,1,0,1,0,0,0,1,0,0
DATA,20000,-0.904207,0.427095,2500.0,9.366,5.596,7.708,71.8,1.816,94.0,26.5,1,0,1,1,0,0,1,0,0
DATA,22000,-0.904145,0.427226,2500.0,8.756,6.841,7.677,69.8,2.039,94.0,26.1,1,0,1,1,0,0,1,0,0
DATA,24000,-0.904083,0.427358,2500.0,8.147,8.084,7.683,70.2,2.261,94.0,26.1,1,0,1,1,0,0,1,0,0
DATA,26000,-0.904020,0.427489,2500.0,8.136,8.068,7.683,70.2,2.486,94.0,26.1,1,0,1,1,0,0,1,0,0
DATA,28000,-0.903958,0.427621,2500.0,8.122,8.046,7.684,70.3,2.712,94.0,26.1,1,0,1,1,0,0,1,0,0
DATA,30000,-0.903896,0.427752,2500.0,8.124,8.052,7.685,70.3,2.713,94.0,26.1,1,0,1,1,0,0,1,0,0
