LCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,2270.8,6.192,0.000,8.036,90.9,0.878,72.4,-1.0,1,0,1,0,0,0,0,0,0
DATA,4000,0.000291,1.000000,2270.0,8.370,1.519,8.056,91.4,1.343,72.5,-1.0,1,0,1,0,0,0,0,0,0
DATA,6000,0.000436,1.000000,2278.3,9.096,2.026,8.056,91.4,1.498,72.5,-1.0,1,0,1,0,0,0,0,0,0
DATA,8000,0.000582,1.000000,2281.7,9.303,2.171,8.056,91.4,1.542,72.4,-1.0,1,0,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,2282.5,10.593,2.659,8.056,91.4,1.801,72.4,-1.0,1,0,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,2281.7,10.547,3.039,8.057,91.4,1.807,72.3,-1.0,1,0,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,2282.5,10.547,3.039,8.054,91.4,1.807,72.3,-1.0,1,0,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,2294.2,10.524,3.100,8.052,91.3,1.807,82.7,-1.0,1,0,1,0,0,0,0,1,0
DATA,18000,0.001309,0.999999,2293.3,9.962,4.402,8.041,91.0,1.807,82.3,-1.0,1,0,1,0,0,0,0,1,0
DATA,20000,0.001454,0.999999,2289.2,9.401,5.706,8.040,91.0,1.806,82.1,-1.0,1,0,1,0,0,0,0,1,0
DATA,22000,-0.649890,0.760028,2297.5,8.840,7.010,8.042,91.1,1.806,81.1,-1.0,1,0,1,1,0,0,0,1,0
DATA,24000,-0.649779,0.760123,2465.0,8.287,8.233,8.031,90.8,2.030,81.5,-1.0,1,0,1,1,0,0,0,1,0
DATA,26000,-0.649669,0.760217,2446.7,8.272,8.214,8.040,91.0,2.254,81.2,-1.0,1,0,1,1,0,0,0,1,0
DATA,28000,-0.649559,0.760311,2445.0,8.257,8.194,8.040,91.0,2.480,80.7,-1.0,1,0,1,1,0,0,0,1,0
DATA,30000,-0.649448,0.760406,2440.8,8.242,8.174,8.042,91.1,2.705,81.1,-1.0,1,0,1,1,0,0,0,1,0
DATA,32000,-0.649337,0.760501,2445.0,8.244,8.174,8.041,91.0,2.705,80.9,-1.0,1,0,1,1,0,0,0,1,0
DATA,34000,-0.649227,0.760595,2445.0,8.245,8.178,8.040,91.0,2.705,81.7,-1.0,1,0,1,1,0,0,0,1,0
DATA,36000,-0.649116,0.760689,2444.2,8.246,8.182,8.035,90.9,2.705,81.7,-1.0,1,0,1,1,0,0,0,1,0
DATA,38000,-0.649006,0.760784,2442.5,8.246,8.182,8.033,90.8,2.705,80.9,-1.0,1,0,1,1,0,0,0,1,0
DATA,40000,-0.648895,0.760878,2440.8,8.246,8.182,8.027,90.7,2.705,81.4,-1.0,1,0,1,1,0,0,0,1,0
DATA,42000,-0.648784,0.760973,2435.8,8.246,8.180,8.032,90.8,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,44000,-0.648674,0.761067,2431.7,8.245,8.180,8.028,90.7,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,46000,-0.648562,0.761162,2435.8,8.246,8.184,8.032,90.8,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,48000,-0.648452,0.761256,2413.3,8.247,8.190,8.035,90.9,2.705,81.7,34.7,1,0,1,1,0,0,0,1,0
DATA,50000,-0.648341,0.761350,2415.0,8.249,8.196,8.039,91.0,2.705,81.3,34.7,1,0,1,1,0,0,0,1,0
DATA,52000,-0.648231,0.761444,2415.8,8.250,8.200,8.038,91.0,2.705,81.2,34.7,1,0,1,1,0,0,0,1,0
DATA,54000,-0.648119,0.761539,2410.8,8.251,8.204,8.033,90.8,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,56000,-0.648009,0.761633,2420.8,8.251,8.206,8.029,90.7,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,58000,-0.647898,0.761727,2418.3,8.251,8.208,8.038,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,60000,-0.647788,0.761821,2409.2,8.251,8.208,8.035,90.9,2.705,81.3,34.7,1,0,1,1,0,0,0,1,0
DATA,62000,-0.647676,0.761916,2310.8,8.253,8.212,8.038,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,64000,-0.647566,0.762010,2323.3,8.253,8.214,8.036,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,66000,-0.647455,0.762104,2321.7,8.254,8.214,8.038,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,68000,-0.647344,0.762198,2324.2,8.253,8.214,8.037,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,70000,-0.647233,0.762292,2329.2,8.253,8.210,8.037,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,72000,-0.647122,0.762386,2325.8,8.253,8.208,8.036,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,74000,-0.647011,0.762480,2323.3,8.253,8.208,8.034,90.8,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,76000,-0.646901,0.762574,2313.3,8.253,8.210,8.037,90.9,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,78000,-0.646789,0.762669,2318.3,8.254,8.214,8.037,90.9,2.705,81.3,34.7,1,0,1,1,0,0,0,1,0
DATA,80000,-0.646679,0.762762,2311.7,8.253,8.214,8.032,90.8,2.705,81.2,34.7,1,0,1,1,0,0,0,1,0
DATA,82000,-0.646568,0.762857,2305.0,8.253,8.212,8.036,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,84000,-0.646457,0.762951,2310.8,8.252,8.206,8.032,90.8,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,86000,-0.646345,0.763045,2300.0,8.252,8.202,8.033,90.8,2.705,81.5,34.7,1,0,1,1,0,0,0,1,0
DATA,88000,-0.646235,0.763139,2303.3,8.252,8.202,8.037,90.9,2.705,81.4,34.7,1,0,1,1,0,0,0,1,0
DATA,90000,-0.646124,0.763233,2300.0,8.253,8.206,8.038,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,92000,-0.646013,0.763327,2295.8,8.254,8.210,8.038,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,94000,-0.645902,0.763421,2293.3,8.256,8.214,8.032,90.8,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,96000,-0.645791,0.763514,2292.5,8.255,8.214,8.035,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,98000,-0.645680,0.763608,2298.3,8.256,8.216,8.038,90.9,2.705,82.4,34.7,1,0,1,1,0,0,0,1,0
DATA,100000,-0.645569,0.763702,2298.3,8.256,8.218,8.032,90.8,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,102000,-0.645457,0.763796,2299.2,8.256,8.216,8.038,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,104000,-0.645347,0.763890,2290.8,8.257,8.218,8.035,90.9,2.705,81.5,34.7,1,0,1,1,0,0,0,1,0
DATA,106000,-0.645235,0.763984,2282.5,8.256,8.214,8.038,91.0,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,108000,-0.645124,0.764078,2289.2,8.255,8.210,8.035,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,110000,-0.645013,0.764172,2291.7,8.255,8.212,8.035,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,112000,-0.644902,0.764266,2287.5,8.255,8.212,8.036,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,114000,-0.644791,0.764359,2287.5,8.256,8.216,8.036,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,116000,-0.644680,0.764453,2289.2,8.257,8.220,8.038,90.9,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,118000,-0.644568,0.764547,2285.0,8.258,8.220,8.036,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,120000,-0.644457,0.764641,2280.8,8.258,8.222,8.037,90.9,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,122000,-0.644346,0.764734,2287.5,8.258,8.222,8.039,91.0,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,124000,-0.644235,0.764828,2287.5,8.258,8.222,8.037,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,126000,-0.644123,0.764922,2289.2,8.258,8.222,8.037,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,128000,-0.644012,0.765015,2285.0,8.258,8.222,8.039,91.0,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,130000,-0.643901,0.765109,2286.7,8.258,8.222,8.035,90.9,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,132000,-0.643790,0.765202,2287.5,8.258,8.222,8.037,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,134000,-0.643679,0.765296,2286.7,8.257,8.222,8.034,90.9,2.705,81.6,34.7,1,0,1,1,0,0,0,1,0
DATA,136000,-0.643567,0.765390,2281.7,8.257,8.227,8.032,90.8,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,138000,-0.643456,0.765483,2283.3,8.258,8.229,8.036,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,140000,-0.643345,0.765577,2285.0,8.257,8.229,8.034,90.8,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,142000,-0.643233,0.765671,2290.8,8.258,8.229,8.035,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,144000,-0.643122,0.765764,2284.2,8.258,8.227,8.034,90.8,2.705,81.7,34.7,1,0,1,1,0,0,0,1,0
DATA,146000,-0.643010,0.765857,2286.7,8.258,8.222,8.038,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,148000,-0.642899,0.765951,2285.8,8.258,8.222,8.038,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,150000,-0.642787,0.766045,2282.5,8.258,8.222,8.038,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,152000,-0.642676,0.766138,2284.2,8.258,8.225,8.038,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,154000,-0.642565,0.766231,2285.8,8.258,8.225,8.038,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,156000,-0.642453,0.766325,2285.8,8.258,8.222,8.038,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,158000,-0.642342,0.766418,2285.0,8.257,8.220,8.035,90.9,2.705,82.6,34.7,1,0,1,1,0,0,0,1,0
DATA,160000,-0.642230,0.766512,2286.7,8.256,8.218,8.038,91.0,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,162000,-0.642119,0.766605,2294.2,8.256,8.218,8.038,91.0,2.705,82.6,34.7,1,0,1,1,0,0,0,1,0
DATA,164000,-0.642007,0.766699,2284.2,8.256,8.220,8.035,90.9,2.705,82.4,34.7,1,0,1,1,0,0,0,1,0
DATA,166000,-0.641896,0.766792,2288.3,8.257,8.222,8.037,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,168000,-0.641784,0.766885,2285.8,8.257,8.222,8.036,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,170000,-0.641673,0.766978,2289.2,8.258,8.225,8.035,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,172000,-0.641561,0.767072,2289.2,8.258,8.227,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,174000,-0.641449,0.767165,2290.8,8.258,8.227,8.034,90.8,2.705,82.6,34.7,1,0,1,1,0,0,0,1,0
DATA,176000,-0.641338,0.767259,2286.7,8.258,8.229,8.036,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,178000,-0.641227,0.767352,2286.7,8.258,8.227,8.036,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,180000,-0.641114,0.767445,2285.8,8.259,8.227,8.037,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,182000,-0.641003,0.767538,2295.0,8.260,8.231,8.036,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,184000,-0.640891,0.767632,2285.0,8.260,8.229,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,186000,-0.640780,0.767725,2290.0,8.260,8.229,8.038,90.9,2.705,82.6,34.7,1,0,1,1,0,0,0,1,0
DATA,188000,-0.640668,0.767818,2291.7,8.260,8.229,8.037,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,190000,-0.640556,0.767911,2290.0,8.260,8.227,8.035,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,192000,-0.640445,0.768004,2283.3,8.260,8.227,8.036,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,194000,-0.640333,0.768097,2285.0,8.260,8.227,8.036,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,196000,-0.640221,0.768191,2284.2,8.260,8.225,8.036,90.9,2.705,82.4,34.7,1,0,1,1,0,0,0,1,0
DATA,198000,-0.640110,0.768284,2286.7,8.259,8.220,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,200000,-0.639998,0.768377,2280.0,8.259,8.220,8.035,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,202000,-0.639886,0.768470,2285.8,8.259,8.218,8.035,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,204000,-0.639774,0.768563,2283.3,8.258,8.212,8.035,90.9,2.705,82.4,34.7,1,0,1,1,0,0,0,1,0
DATA,206000,-0.639663,0.768656,2285.8,8.257,8.210,8.036,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,208000,-0.639550,0.768749,2285.8,8.257,8.210,8.035,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,210000,-0.639439,0.768842,2287.5,8.257,8.208,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,212000,-0.639327,0.768935,2304.2,8.257,8.208,8.037,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,214000,-0.639215,0.769028,2287.5,8.258,8.210,8.035,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,216000,-0.639103,0.769121,2286.7,8.258,8.208,8.037,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,218000,-0.638992,0.769214,2285.8,8.257,8.206,8.035,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,220000,-0.638879,0.769307,2310.0,8.257,8.206,8.036,90.9,2.705,81.8,34.7,1,0,1,1,0,0,0,1,0
DATA,222000,-0.638768,0.769400,2299.2,8.257,8.206,8.036,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,224000,-0.638656,0.769492,2293.3,8.257,8.206,8.037,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,226000,-0.638544,0.769585,2293.3,8.257,8.206,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,228000,-0.638432,0.769678,2288.3,8.257,8.206,8.036,90.9,2.705,82.7,34.7,1,0,1,1,0,0,0,1,0
DATA,230000,-0.638320,0.769771,2291.7,8.257,8.206,8.035,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,232000,-0.638208,0.769864,2290.0,8.257,8.204,8.036,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,234000,-0.638096,0.769957,2287.5,8.257,8.204,8.036,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,236000,-0.637984,0.770050,2293.3,8.257,8.206,8.037,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
DATA,238000,-0.637872,0.770143,2289.2,8.257,8.206,8.036,90.9,2.705,82.8,34.7,1,0,1,1,0,0,0,1,0
DATA,240000,-0.637760,0.770235,2290.8,8.258,8.210,8.035,90.9,2.705,82.3,34.7,1,0,1,1,0,0,0,1,0
DATA,242000,-0.637648,0.770328,2286.7,8.258,8.210,8.035,90.9,2.705,81.9,34.7,1,0,1,1,0,0,0,1,0
DATA,244000,-0.637536,0.770421,2290.8,8.257,8.206,8.036,90.9,2.705,82.4,34.7,1,0,1,1,0,0,0,1,0
DATA,246000,-0.637424,0.770513,2289.2,8.257,8.204,8.034,90.9,2.705,82.8,34.7,1,0,1,1,0,0,0,1,0
DATA,248000,-0.637312,0.770606,2285.0,8.257,8.200,8.035,90.9,2.705,82.5,34.7,1,0,1,1,0,0,0,1,0
DATA,250000,-0.637200,0.770699,2294.2,8.257,8.200,8.035,90.9,2.705,82.0,34.7,1,0,1,1,0,0,0,1,0
DATA,252000,-0.637087,0.770792,2302.5,8.257,8.202,8.036,90.9,2.705,82.2,34.7,1,0,1,1,0,0,0,1,0
DATA,254000,-0.636975,0.770884,2300.0,8.257,8.204,8.036,90.9,2.705,82.1,34.7,1,0,1,1,0,0,0,1,0
