1ÞLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,1942.5,6.193,0.000,7.701,71.3,0.875,44.5,-1.0,1,0,1,0,0,0,0,0,0
DATA,4000,0.000291,1.000000,1942.5,8.374,1.527,7.722,72.6,1.348,44.7,-1.0,1,0,1,0,0,0,0,0,0
DATA,6000,0.000436,1.000000,1939.2,9.101,2.037,7.719,72.5,1.505,44.7,-1.0,1,0,1,0,0,0,0,0,0
DATA,8000,0.000582,1.000000,1932.5,9.309,2.182,7.719,72.5,1.550,44.7,-1.0,1,0,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,1931.7,10.601,2.673,7.718,72.4,1.811,44.7,46.9,1,0,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,1931.7,10.555,3.055,7.717,72.3,1.820,44.7,46.9,1,0,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,1932.5,10.555,3.055,7.716,72.2,1.820,44.7,46.9,1,0,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,1937.5,10.529,3.126,7.777,76.0,1.820,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,18000,0.001309,0.999999,1934.2,9.972,4.394,7.863,81.5,1.817,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,20000,0.001454,0.999999,1931.7,9.415,5.663,7.871,81.9,1.813,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,22000,-0.432020,0.901864,1937.5,8.860,6.937,7.876,82.2,1.810,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,24000,-0.431889,0.901927,1938.3,8.332,8.141,7.876,82.2,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,26000,-0.431758,0.901990,1935.0,8.335,8.149,7.880,82.5,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,28000,-0.431626,0.902053,1937.5,8.339,8.155,7.881,82.6,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,30000,-0.431495,0.902115,1945.0,8.340,8.160,7.883,82.7,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,32000,-0.431364,0.902178,1945.0,8.341,8.162,7.885,82.8,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,34000,-0.431233,0.902240,1945.0,8.342,8.168,7.885,82.8,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,36000,-0.431101,0.902304,1946.7,8.343,8.174,7.886,82.9,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,38000,-0.430970,0.902366,1940.0,8.344,8.176,7.886,82.9,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,40000,-0.430839,0.902429,1953.3,8.345,8.180,7.886,82.9,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,42000,-0.430708,0.902491,1950.0,8.346,8.180,7.887,82.9,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,44000,-0.430576,0.902554,1948.3,8.347,8.180,7.889,83.1,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,46000,-0.430445,0.902617,1955.0,8.348,8.182,7.888,83.0,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,48000,-0.430314,0.902679,1955.8,8.350,8.184,7.892,83.2,1.807,45.4,46.9,1,0,1,0,0,0,1,0,0
DATA,50000,-0.430183,0.902742,1951.7,8.350,8.184,7.890,83.2,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,52000,-0.430051,0.902805,1954.2,8.351,8.184,7.893,83.3,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,54000,-0.429920,0.902867,1950.0,8.352,8.184,7.894,83.3,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,56000,-0.429789,0.902929,1952.5,8.352,8.182,7.894,83.4,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,58000,-0.429658,0.902992,1952.5,8.353,8.184,7.895,83.5,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,60000,-0.429526,0.903055,1955.0,8.353,8.186,7.896,83.5,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,62000,-0.429395,0.903117,1955.0,8.354,8.188,7.896,83.5,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
DATA,64000,-0.429264,0.903179,1955.0,8.355,8.192,7.896,83.5,1.807,45.3,46.9,1,0,1,0,0,0,1,0,0
