孡CD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,176.7,0.659,0.000,6.871,23.5,0.863,42.2,-1.0,0,1,1,0,0,0,0,0,0
DATA,4000,0.000291,1.000000,165.8,0.651,0.000,6.811,20.6,1.294,42.1,-1.0,0,1,1,0,0,0,0,0,0
DATA,6000,0.000436,1.000000,165.0,0.648,0.000,6.809,20.5,1.438,42.1,-1.0,0,1,1,0,0,0,0,0,0
DATA,8000,0.000582,1.000000,170.8,0.648,0.000,6.809,20.4,1.479,42.1,-1.0,0,1,1,0,0,0,0,0,0
DATA,10000,0.000727,1.000000,177.5,0.643,0.000,6.806,20.3,1.726,42.1,-1.0,0,1,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,24.2,0.643,0.000,6.808,20.4,1.726,42.2,21.4,0,1,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,19.2,0.643,0.000,6.807,20.4,1.726,42.1,21.4,0,1,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,112.5,0.643,0.000,6.806,20.3,1.726,42.2,21.4,0,1,1,0,0,0,0,0,0
DATA,18000,0.001309,0.999999,45.8,0.642,0.000,6.820,21.0,1.725,38.9,21.4,0,0,1,0,0,0,0,0,1
DATA,20000,-0.192807,0.981237,50.0,0.646,0.000,6.905,25.3,1.736,38.8,21.4,0,0,1,0,0,0,0,0,1
DATA,22000,-0.192665,0.981265,25.0,0.649,0.000,6.906,25.3,1.746,38.7,21.4,0,0,1,0,0,0,0,0,1
DATA,24000,-0.192522,0.981293,56.7,0.652,0.000,6.909,25.4,1.756,38.6,21.4,0,0,1,0,0,0,0,0,1
DATA,26000,-0.192379,0.981321,55.8,0.657,0.000,6.910,25.5,1.768,38.6,21.4,0,0,1,0,0,0,0,0,1
DATA,28000,-0.192237,0.981349,64.2,0.657,0.000,6.912,25.6,1.768,38.6,21.4,0,0,1,0,0,0,0,0,1
