
-­^m/	o^­Y/	/þLCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,72.5,0.678,0.000,7.930,85.6,1.258,93.3,-1.0,0,1,1,1,0,0,0,0,0
DATA,4000,0.000291,1.000000,62.5,0.673,0.000,7.869,81.8,1.887,93.3,-1.0,0,1,1,1,0,0,0,0,0
DATA,6000,0.000436,1.000000,60.8,0.671,0.000,7.868,81.8,2.097,93.3,-1.0,0,1,1,1,0,0,0,0,0
DATA,8000,0.000582,1.000000,60.8,0.670,0.000,7.868,81.8,2.157,93.3,75.2,0,1,1,1,0,0,0,0,0
DATA,10000,0.000727,1.000000,53.3,0.668,0.000,7.868,81.7,2.516,93.3,75.2,0,1,1,1,0,0,0,0,0
DATA,12000,0.000873,1.000000,56.7,0.668,0.000,7.900,83.8,2.421,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,55.0,0.668,0.000,7.902,83.9,2.231,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,65.0,0.669,0.000,7.910,84.4,2.041,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,18000,0.001309,0.999999,60.0,0.670,0.000,7.902,83.9,1.850,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,20000,-0.231536,-0.972826,65.0,0.671,0.000,7.908,84.3,1.755,93.3,75.2,0,1,1,1,0,0,0,0,0
DATA,22000,-0.231677,-0.972793,71.7,0.671,0.000,7.871,81.9,1.929,93.3,75.2,0,1,1,1,0,0,0,0,0
DATA,24000,-0.231819,-0.972759,57.5,0.670,0.000,7.874,82.1,2.119,93.3,75.2,0,1,1,1,0,0,0,0,0
DATA,26000,-0.231960,-0.972725,58.3,0.670,0.000,7.891,83.2,2.214,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,28000,-0.232102,-0.972692,65.0,0.670,0.000,7.907,84.2,2.214,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,30000,-0.232243,-0.972658,66.7,0.670,0.000,7.908,84.2,2.041,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,32000,-0.232385,-0.972624,66.7,0.671,0.000,7.909,84.3,1.851,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,34000,-0.232526,-0.972590,66.7,0.672,0.000,7.909,84.3,1.756,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,36000,-0.232667,-0.972556,67.5,0.670,0.000,7.904,84.0,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
DATA,38000,-0.232809,-0.972522,66.7,0.670,0.000,7.908,84.3,1.755,93.3,75.2,0,1,1,0,0,0,0,0,0
