滯LCD ID:5510
DATA,period_ms,real_hour_sin,real_hour_cos,lux,pv_v,pv_p,home_v,home_soc,load_p,car_soc,human_soc,pvsrc,hsrc,rigid,led,fan,qi,hchg,cchg,v2h
CTP ID:9147
DATA,2000,0.000145,1.000000,75.0,0.665,0.000,7.724,72.8,1.242,93.2,-1.0,0,1,1,1,0,0,0,0,0
DATA,4000,0.000291,1.000000,75.0,0.654,0.000,7.662,68.9,1.861,93.2,-1.0,0,1,1,1,0,0,0,0,0
DATA,6000,0.000436,1.000000,75.0,0.650,0.000,7.660,68.8,2.067,93.2,-1.0,0,1,1,1,0,0,0,0,0
DATA,8000,0.000582,1.000000,71.7,0.649,0.000,7.658,68.6,2.125,93.2,-1.0,0,1,1,1,0,0,0,0,0
DATA,10000,0.000727,1.000000,51.7,0.643,0.000,7.676,69.7,2.414,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,12000,0.000873,1.000000,66.7,0.644,0.000,7.690,70.6,2.228,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,14000,0.001018,0.999999,65.8,0.646,0.000,7.689,70.6,2.043,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,16000,0.001164,0.999999,66.7,0.649,0.000,7.695,70.9,1.857,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,18000,0.001309,0.999999,65.8,0.651,0.000,7.688,70.5,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,20000,0.001454,0.999999,65.8,0.651,0.000,7.686,70.4,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,22000,0.001600,0.999999,65.8,0.651,0.000,7.686,70.4,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,24000,0.001745,0.999998,65.8,0.650,0.000,7.694,70.9,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,26000,-0.513729,-0.857953,75.0,0.651,0.000,7.660,68.8,1.832,93.2,70.6,0,1,1,1,0,0,0,0,0
DATA,28000,-0.513853,-0.857878,75.0,0.649,0.000,7.659,68.7,2.017,93.2,70.6,0,1,1,1,0,0,0,0,0
DATA,30000,-0.513978,-0.857803,50.0,0.649,0.000,7.666,69.1,2.204,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,32000,-0.514103,-0.857729,54.2,0.650,0.000,7.693,70.8,2.204,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,34000,-0.514228,-0.857654,58.3,0.651,0.000,7.693,70.8,2.111,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,36000,-0.514352,-0.857579,65.8,0.654,0.000,7.693,70.8,1.925,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,38000,-0.514477,-0.857504,65.8,0.655,0.000,7.693,70.8,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,40000,-0.514602,-0.857429,65.8,0.654,0.000,7.693,70.8,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,42000,-0.514727,-0.857354,65.8,0.654,0.000,7.693,70.8,1.738,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,44000,-0.514851,-0.857280,65.8,0.654,0.000,7.690,70.7,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,46000,-0.514976,-0.857205,65.8,0.654,0.000,7.691,70.7,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,48000,-0.515100,-0.857130,65.8,0.654,0.000,7.691,70.7,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,50000,-0.515225,-0.857055,65.8,0.654,0.000,7.690,70.7,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,52000,-0.515350,-0.856980,65.8,0.653,0.000,7.690,70.6,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,54000,-0.515474,-0.856905,65.8,0.653,0.000,7.690,70.6,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,56000,-0.515599,-0.856830,65.8,0.653,0.000,7.690,70.6,1.739,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,58000,-0.515724,-0.856755,65.8,0.654,0.000,7.689,70.6,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,60000,-0.515848,-0.856680,65.0,0.655,0.000,7.688,70.5,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,62000,-0.515973,-0.856605,60.8,0.655,0.000,7.689,70.6,1.741,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,64000,-0.516097,-0.856530,59.2,0.655,0.000,7.687,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,66000,-0.516222,-0.856455,60.8,0.655,0.000,7.688,70.5,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,68000,-0.516347,-0.856380,53.3,0.655,0.000,7.687,70.4,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,70000,-0.516471,-0.856305,47.5,0.655,0.000,7.688,70.5,1.739,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,72000,-0.516596,-0.856230,61.7,0.655,0.000,7.688,70.5,1.738,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,74000,-0.516720,-0.856154,64.2,0.655,0.000,7.687,70.4,1.739,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,76000,-0.516845,-0.856079,61.7,0.655,0.000,7.688,70.5,1.740,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,78000,-0.516969,-0.856004,65.0,0.655,0.000,7.687,70.4,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,80000,-0.517094,-0.855929,66.7,0.655,0.000,7.687,70.5,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,82000,-0.517218,-0.855853,66.7,0.655,0.000,7.687,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,84000,-0.517343,-0.855778,65.8,0.654,0.000,7.687,70.4,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,86000,-0.517467,-0.855703,66.7,0.654,0.000,7.686,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,88000,-0.517591,-0.855628,65.8,0.655,0.000,7.685,70.3,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,90000,-0.517716,-0.855552,63.3,0.655,0.000,7.684,70.2,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,92000,-0.517840,-0.855477,63.3,0.656,0.000,7.684,70.2,1.740,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,94000,-0.517965,-0.855402,63.3,0.656,0.000,7.684,70.3,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,96000,-0.518089,-0.855327,63.3,0.656,0.000,7.682,70.2,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,98000,-0.518214,-0.855251,63.3,0.656,0.000,7.684,70.2,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,100000,-0.518338,-0.855176,63.3,0.657,0.000,7.685,70.3,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,102000,-0.518462,-0.855100,63.3,0.657,0.000,7.684,70.2,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,104000,-0.518587,-0.855025,63.3,0.656,0.000,7.689,70.6,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,106000,-0.518711,-0.854950,63.3,0.656,0.000,7.690,70.6,1.742,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,108000,-0.518836,-0.854874,64.2,0.655,0.000,7.689,70.6,1.744,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,110000,-0.518960,-0.854799,63.3,0.655,0.000,7.690,70.6,1.744,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,112000,-0.519084,-0.854723,63.3,0.655,0.000,7.689,70.6,1.744,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,114000,-0.519208,-0.854648,63.3,0.655,0.000,7.689,70.6,1.744,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,116000,-0.519333,-0.854572,63.3,0.655,0.000,7.688,70.5,1.744,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,118000,-0.519457,-0.854497,63.3,0.655,0.000,7.688,70.5,1.743,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,120000,-0.519581,-0.854421,63.3,0.655,0.000,7.687,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,122000,-0.519706,-0.854345,63.3,0.655,0.000,7.687,70.5,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,124000,-0.519830,-0.854270,60.0,0.654,0.000,7.687,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,126000,-0.519954,-0.854194,62.5,0.654,0.000,7.688,70.5,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,128000,-0.520078,-0.854119,62.5,0.655,0.000,7.687,70.4,1.741,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,130000,-0.520203,-0.854043,60.0,0.655,0.000,7.686,70.4,1.741,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,132000,-0.520327,-0.853967,60.8,0.655,0.000,7.686,70.4,1.741,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,134000,-0.520451,-0.853891,60.0,0.655,0.000,7.687,70.4,1.742,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,136000,-0.520575,-0.853816,55.8,0.655,0.000,7.686,70.4,1.742,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,138000,-0.520699,-0.853740,55.8,0.656,0.000,7.685,70.3,1.743,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,140000,-0.520824,-0.853664,54.2,0.655,0.000,7.684,70.2,1.744,93.1,70.6,0,1,1,0,0,0,0,0,0
DATA,142000,-0.520948,-0.853589,58.3,0.655,0.000,7.685,70.3,1.743,93.2,70.6,0,1,1,0,0,0,0,0,0
DATA,144000,-0.521072,-0.853513,64.2,0.655,0.000,7.685,70.3,1.744,93.2,70.4,0,1,1,0,0,0,0,0,0
DATA,146000,-0.521196,-0.853437,63.3,0.655,0.000,7.685,70.3,1.744,93.1,70.4,0,1,1,0,0,0,0,0,0
DATA,148000,-0.521320,-0.853361,58.3,0.655,0.000,7.685,70.3,1.743,93.1,70.4,0,1,1,0,0,0,0,0,0
DATA,150000,-0.521444,-0.853285,58.3,0.656,0.000,7.683,70.2,1.744,93.1,70.4,0,1,1,0,0,0,0,0,0
DATA,152000,-0.521568,-0.853209,48.3,0.656,0.000,7.682,70.2,1.744,93.1,70.4,0,1,1,0,0,0,0,0,0
DATA,154000,-0.521692,-0.853134,85.8,0.655,0.000,7.683,70.2,1.743,93.1,70.4,0,1,1,0,0,0,0,0,0
DATA,156000,-0.521816,-0.853058,85.8,0.655,0.000,7.682,70.1,1.743,93.2,70.4,0,1,1,0,0,0,0,0,0
DATA,158000,-0.521940,-0.852982,90.8,0.655,0.000,7.683,70.2,1.743,93.1,70.4,0,1,1,0,0,0,0,0,0
